iter	Passed	Remaining
0	630	6307254
1	1111	5556573
2	1539	5130581
3	2038	5093835
4	2533	5063488
5	2934	4887843
6	3383	4829841
7	3818	4769584
8	4332	4809604
9	4798	4793773
10	5244	4762624
11	5710	4752984
12	6193	4758244
13	6630	4729379
14	7054	4696053
15	7577	4728144
16	8131	4775283
17	8526	4728656
18	9031	4744564
19	9419	4700562
20	9925	4716672
21	10323	4682215
22	10873	4716855
23	11306	4699903
24	11838	4723679
25	12368	4744793
26	12877	4756732
27	13385	4767183
28	13950	4796708
29	14477	4811353
30	15014	4828359
31	15551	4844321
32	16003	4833618
33	16580	4860035
34	17032	4849268
35	17527	4851240
36	18083	4869377
37	18553	4864071
38	19081	4873600
39	19634	4888872
40	20118	4886869
41	20588	4881454
42	21098	4885643
43	21683	4906355
44	22149	4899910
45	22659	4903366
46	23197	4912542
47	23607	4894593
48	24131	4900656
49	24564	4888416
50	24993	4875708
51	25390	4857482
52	25858	4853123
53	26403	4863213
54	26958	4874505
55	27466	4877276
56	28031	4889861
57	28447	4876352
58	28902	4869776
59	29368	4865417
60	29885	4869319
61	30362	4866785
62	30792	4856884
63	31197	4843411
64	31665	4839895
65	32173	4842567
66	32676	4844440
67	33100	4834628
68	33566	4831123
69	34186	4849600
70	34624	4841999
71	35079	4837119
72	35624	4844437
73	36115	4844331
74	36701	4856868
75	37298	4870424
76	37751	4865045
77	38352	4878596
78	38783	4870540
79	39220	4863402
80	39764	4869463
81	40186	4860646
82	40612	4852466
83	41110	4853006
84	41544	4846075
85	42136	4857431
86	42531	4846148
87	42964	4839311
88	43580	4853050
89	44008	4845813
90	44433	4838423
91	44876	4833038
92	45356	4831686
93	45911	4838250
94	46413	4839201
95	46897	4838242
96	47342	4833351
97	47799	4829750
98	48233	4823815
99	48729	4824209
100	49248	4826833
101	49745	4827311
102	50170	4820719
103	50619	4816632
104	51174	4822608
105	51634	4819567
106	51998	4807706
107	52544	4812714
108	53033	4812462
109	53498	4810030
110	53999	4810845
111	54432	4805634
112	54855	4799651
113	55307	4796196
114	55708	4788481
115	56110	4781030
116	56536	4775623
117	56962	4770373
118	57474	4772324
119	57964	4772395
120	58462	4773188
121	59004	4777405
122	59438	4772926
123	59841	4766070
124	60330	4766098
125	60805	4765024
126	61241	4760946
127	61792	4765711
128	62298	4767025
129	62689	4759604
130	63123	4755458
131	63605	4754984
132	64029	4750209
133	64511	4749760
134	64965	4747301
135	65494	4750295
136	65934	4746777
137	66378	4743653
138	66895	4745709
139	67318	4741173
140	67808	4741277
141	68302	4741744
142	68736	4738017
143	69231	4738521
144	69751	4740681
145	70248	4741303
146	70825	4747208
147	71230	4741621
148	71669	4738356
149	72138	4737066
150	72611	4736082
151	73015	4730657
152	73477	4728943
153	74046	4734184
154	74523	4733431
